OCR Corrections — 2515 substitutions across 246 entries
========================================================================
DATE         RULE             ORIGINAL                     CORRECTED
1942-03-11   phrase_norm      Cominch                      COMINCH
1942-03-11   phrase_norm      Cominch                      COMINCH
1942-03-11   hyphen_join      in-flicted                   inflicted
1942-03-11   stray_symbol     penins\ila                   peninsila
1942-03-12   phrase_norm      Cominch                      COMINCH
1942-03-12   phrase_norm      Cominch                      COMINCH
1942-03-12   phrase_norm      Cominch                      COMINCH
1942-03-12   hyphen_join      informa-tion                 information
1942-03-13   phrase_norm      Cominch                      COMINCH
1942-03-13   hyphen_join      re-ceiving                   receiving
1942-03-13   hyphen_join      re-ceived                    received
1942-03-13   hyphen_join      Instal-lation                Installation
1942-03-13   hyphen_join      ammuni-tion                  ammunition
1942-03-13   hyphen_join      Contem-plate                 Contemplate
1942-03-13   hyphen_join      pos-sibility                 possibility
1942-03-13   hyphen_join      occupa-tion                  occupation
1942-03-13   stray_punct_prefix .Force                       Force
1942-03-14   phrase_norm      Cominch                      COMINCH
1942-03-14   phrase_norm      Cominch                      COMINCH
1942-03-14   phrase_norm      Cominch                      COMINCH
1942-03-14   hyphen_join      Amphib-ious                  Amphibious
1942-03-15   phrase_norm      Cominch                      COMINCH
1942-03-15   hyphen_join      defen-sive                   defensive
1942-03-15   hyphen_join      north-eastern                northeastern
1942-03-15   hyphen_join      intel-ligence                intelligence
1942-03-15   hyphen_join      con-tinued                   continued
1942-03-16   phrase_norm      Cominch                      COMINCH
1942-03-16   phrase_norm      Cominch                      COMINCH
1942-03-16   hyphen_join      confer-ence                  conference
1942-03-16   hyphen_join      dis-couraging                discouraging
1942-03-17   phrase_norm      Cominch                      COMINCH
1942-03-17   phrase_norm      Cominch                      COMINCH
1942-03-17   phrase_norm      Cominch                      COMINCH
1942-03-17   phrase_norm      Cominch                      COMINCH
1942-03-17   phrase_norm      Cominch                      COMINCH
1942-03-17   phrase_norm      Task Porce                   Task Force
1942-03-17   hyphen_join      rec-ognized                  recognized
1942-03-17   hyphen_join      short-age                    shortage
1942-03-17   hyphen_join      sur-face                     surface
1942-03-17   hyphen_join      inade-quate                  inadequate
1942-03-17   hyphen_join      se-curity                    security
1942-03-17   hyphen_join      desir-able                   desirable
1942-03-17   hyphen_join      in-clude                     include
1942-03-17   hyphen_join      per-sonnel                   personnel
1942-03-17   hyphen_join      avail-ability                availability
1942-03-17   hyphen_join      consist-ing                  consisting
1942-03-17   hyphen_join      con-siderably                considerably
1942-03-17   hyphen_join      Instal-lations               Installations
1942-03-17   hyphen_join      construc-tion                construction
1942-03-17   hyphen_join      esti-mated                   estimated
1942-03-17   hyphen_join      pre-pared                    prepared
1942-03-17   hyphen_join      ad-ditional                  additional
1942-03-17   stray_symbol     gro\ip                       groip
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Cominch                      COMINCH
1942-03-19   phrase_norm      Task Porce                   Task Force
1942-03-19   hyphen_join      diplo-matic                  diplomatic
1942-03-19   hyphen_join      what-ever                    whatever
1942-03-19   hyphen_join      pas-senger                   passenger
1942-03-19   hyphen_join      satis-factorily              satisfactorily
1942-03-19   hyphen_join      splend-idly                  splendidly
1942-03-19   hyphen_join      Other-wise                   Otherwise
1942-03-19   hyphen_join      effect-iveness               effectiveness
1942-03-19   hyphen_join      un-known                     unknown
1942-03-19   hyphen_join      un-serviceable               unserviceable
1942-03-19   hyphen_join      ap-preciate                  appreciate
1942-03-19   hyphen_join      detach-ment                  detachment
1942-03-19   hyphen_join      transporta-tion              transportation
1942-03-19   hyphen_join      con-tradiction               contradiction
1942-03-19   hyphen_join      pre-serve                    preserve
1942-03-19   hyphen_join      suf-ficient                  sufficient
1942-03-19   hyphen_join      else-where                   elsewhere
1942-03-19   hyphen_join      estab-lish                   establish
1942-03-19   hyphen_join      se-curity                    security
1942-03-19   hyphen_join      addi-tion                    addition
1942-03-19   hyphen_join      be-lieved                    believed
1942-03-19   hyphen_join      com-pletely                  completely
1942-03-19   hyphen_join      under-stand                  understand
1942-03-19   hyphen_join      informa-tion                 information
1942-03-19   hyphen_join      sur-rounded                  surrounded
1942-03-19   hyphen_join      Austral-ian                  Australian
1942-03-19   hyphen_join      en-gagement                  engagement
1942-03-19   hyphen_join      Con-template                 Contemplate
1942-03-19   hyphen_join      varia-tion                   variation
1942-03-19   hyphen_join      con-firmation                confirmation
